Definition,Definizione
Non-personal Data,Dato non personale
Connected device,Dispositivo connesso
IoT device,Dispositivo IoT
Open Data,Dato aperto
Satellite Data,Dato satelittare
Cookie,Cookie
Synthetic Data,Dato Sintetico
International Data Transfer,Trasferimento internazionale di dati
Data Sharing activity,Attività di Condivisione di Dati
Data Buyer,Acquirente di dati
Dangerous Product,Prodotto pericoloso
Dangerous Product Importer,Importatore di un prodotto pericolo
Intermediary Platform,Piattaforma di Intermediazione
Internet Platform,Piattaforma su Internet
Content Creator,Creatore di Contenuti
Digital Internal Market,Mercato Digitale Interno
Data Monetization,Monetizzazione di Dati
Smart Contract,Contratto Intelligente
Gender-based Crime,Crimine di Genere
Victim-blaming,Colpevolizzazione della Vittima
Hate Speech,Discorso d'odio
Stalking,Stalking
Ransomware,Ransomware
International Terrorism,Terrorismo internazionale
Cooperation Duties,Obblighi di Cooperazione
Law Enforcement Policy,Politica delle Attività di Contrasto
Fair compensation,Equa Compensazione
Law Enforcement Officer ,Ufficiale delle Forze dell'Ordine
Cryptocurrency,Criptovaluta
Decentralised Finance,Finanza Decentralizzata
Autonomous Trading Agent,Agente autonomo di trading 
Automated trading,Trading automatizzato
Multi-year Agreement,Contratto Pluriennale
Restrictive Practice,Pratica Restrittiva
Confidential Information,Informazione Confidenziale
National Competition Authority,Autorità Nazionale per la Concorrenza
Organic Product,Prodotto Organico
Non-animal origin ,Origine Non Animale
Imported Good,Bene Importato
Air Pollution,Inquinamento dell'Aria
Non-organic Origin,Origine Inorganica
Animal Welfare,Benessere Animale
National Health Authority ,Autorità Nazionale per la Salute
Plant-based Product,Prodotto Vegetale
Risk Assessment,Analisi del rischio
Risk Evaluation,Valutazione del Rischio
Electric Vehicle,Veicolo Elettrico
Autonomous Vehicle,Veicolo Autonomo
Hybrid Vehicle,Veicolo Ibrido
Air quality Assessment,Analisi della qualità dell'Aria
Emission controlling mechanism,Meccanismo di controllo delle emissioni
Organic fuel,Combustibile Organico
Internal Combustion,Combustione Interna
Transnational Cooperation,Cooperazione Transnazionale
Digital Product,Prodotto Digitale
e-Book,Libro Elettronico
Non-physical copy ,Copia Immateriale
Transnational Contract Enforcement,Esecuzione Transnazionale dei Contratti 
International Warranty ,Garanzia Internazionale
Place of Production,Luogo di Produzione
International Distance Selling ,Vendita internazionale a distanza
Lead Consumer Authority ,Autorità sui Consumatori Competente
Financial Stability ,Stabilità Finanziaria
Credit Risk Assessment,Analisi del rischio creditizio
Credit Risk Evaluation,Valutazione del Rischio creditizio
International Investment,Investimento Internazionale
Dominant Position,Posizione Dominante
Automated Creditworthiness Decision,Decisione Automatizzata sul merito creditizio
National Bond Authority ,Autorità Nazionale per i Titoli di Stato
Market Disruption Crisis,Crisi da Instabilità del Mercato
Videosurveillance,Videosorveglianza
Trojan,Trojan
EU Criminal Record ,Casellario Giudiziale Europeo
Human Trafficking ,Traffico di Esseri Umani
Traffic Data,Dati relativi al Traffico 
GPS Data,Dati GPS
International Cooperation Policy,Politica di Cooperazione Internazionale
National Monitoring Body,Ente nazionale di controllo
Law Enforcement Data Sharing,Condivisione di dati per le attività di contrasto
