date,definition
"{'date': '2012-07-08', 'definition': '6. "" fishing activities "" means fishing, including joint fishing operations, fish processing operations, the transhipment or landing of fish or fish products and any other commercial activity in preparation for or related to fishing;'}","{'date': '2016-02-05', 'definition': '6. "" fishing activities "" means fishing, including joint fishing operations, fish processing operations, the transhipment or landing of fishery resources or products thereof and any other commercial activity in preparation for, or related to, fishing, including packaging, transporting, refuelling or resupplying;'}"
"{'date': '2012-07-08', 'definition': '13. "" port "" means any place used for landing or a place close to the shore designated by a Contracting Party for transhipping fishery resources.'}","{'date': '2016-02-05', 'definition': '13. "" port "" means any place on shore used for landing or for the provision of services in relation to, or in support of, fishing activities, or a place on or close to the shore designated by a Contracting Party for transhipping of fishery resources.'}"
"{'date': '2014-05-23', 'definition': '"" competent authorities "" means: (i) supervisory authorities as defined in Directive 2009/138/EC , and competent authorities as defined in Directive 2003/41/EC and 2002/92/EC; (ii) with regard to Directives 2002/65/EC and 2005/60/EC, the authorities competent for ensuring compliance with the requirements of those Directives by financial institutions as defined in point (1).'}","{'date': '2020-01-01', 'definition': '"" competent authorities "" means: (i) supervisory authorities as defined in Directive 2009/138/EC , and competent authorities as defined in Directive 2003/41/EC and 2002/92/EC; (ii) with regard to Directive 2002/65/EC , the authorities and bodies competent for ensuring compliance with the requirements of that Directive by financial institutions.'}"
"{'date': '2016-05-26', 'definition': '(7) "" national safety authority "" means the national body entrusted with the tasks regarding railway safety in accordance with this Directive or any body entrusted by several Member States with those tasks in order to ensure a unified safety regime;'}","{'date': '2020-10-23', 'definition': '"" national safety authority "" means: (a) the national body entrusted with the tasks regarding railway safety in accordance with this Directive; (b) any body entrusted by several Member States with the tasks referred to in point (a) in order to ensure a unified safety regime; (c) any body entrusted by a Member State and a third country with the tasks referred to in point (a) in order to ensure a unified safety regime, provided that the Union has concluded an agreement to this effect with the third country concerned or that that Member State has concluded such agreement in accordance with an empowerment granted by the Union to that effect;'}"
"{'date': '2017-07-20', 'definition': '(3) "" investment firm "" means an investment firm as defined in point (2) of Article 4(1) of Regulation (EU) No 575/2013 that is subject to the initial capital requirement laid down in Article 28(2) of Directive 2013/36/EU'}","{'date': '2021-06-26', 'definition': '(3) "" investment firm "" means an investment firm as defined in point (22) of Article 4(1) of Regulation (EU) 2019/2033 of the European Parliament and of the Council Regulation (EU) 2019/2033 of the European Parliament and of the Council of 27 November 2019 on the prudential requirements of investment firms and amending Regulations (EU) No 1093/2010 , (EU) No 575/2013 (EU) No 600/2014 and (EU) No 806/2014 (OJ L 314, 5.12.2019 , p. 1). which is subject to the initial capital requirement laid down in Article 9(1) of Directive (EU) 2019/2034 of the European Parliament and of the Council Directive (EU) 2019/2034 of the European Parliament and of the Council of 27 November 2019 on the prudential supervision of investment firms and amending Directives 2002/87/EC , 2009/65/EC, 2011/61/EU, 2013/36/EU, 2014/59/EU and 2014/65/EU (OJ L 314, 5.12.2019 , p. 64).'}"
"{'date': '2014-01-17', 'definition': '(16) "" competent authority "" means an authority or system of authorities designated by Member States as having legal authority for the purposes of this Directive;'}","{'date': '2017-07-20', 'definition': '(21) "" competent authority "" means a competent authority as defined in point (40) of Article 4(1) of Regulation (EU) No 575/2013 including the European Central Bank with regard to specific tasks conferred on it by Council Regulation (EU) No 1024/2013 Council Regulation (EU) No 1024/2013 of 15 October 2013 conferring specific tasks on the European Central Bank concerning policies relating to the prudential supervision of credit institutions ( OJ L 287, 29.10.2013, p. 63 ).'}"
"{'date': '2017-07-20', 'definition': '(70) "" aggregate amount "" means the aggregate amount by which the resolution authority has assessed that eligible liabilities are to be written down or converted, in accordance with Article 46(1);'}","{'date': '2019-06-27', 'definition': '(70) "" aggregate amount "" means the aggregate amount by which the resolution authority has assessed that bail-inable liabilities are to be written down or converted, in accordance with Article 46(1);'}"
"{'date': '2017-07-20', 'definition': '(71) "" eligible liabilities "" means the liabilities and capital instruments that do not qualify as Common Equity Tier 1, Additional Tier 1 or Tier 2 instruments of an institution or entity referred to in point (b), (c) or (d) of Article 1(1) that are not excluded from the scope of the bail-in tool by virtue of Article 44(2);'}","{'date': '2019-06-27', 'definition': '(71a) "" eligible liabilities "" means bail-inable liabilities that fulfil, as applicable, the conditions of Article 45b or point (a) of point (b) of Regulation (EU) No 575/2013'}"
"{'date': '2017-07-20', 'definition': '(96) "" covered bond "" means an instrument as referred to in Article 52(4) of Directive 2009/65/EC of the European Parliament and of the Council Directive 2009/65/EC of the European Parliament and of the Council of 13 July 2009 on the coordination of laws, regulations and administrative provisions relating to undertakings for collective investment in transferable securities (UCITS) ( OJ L 302, 17.11.2009, p. 32 ).'}","{'date': '2020-01-07', 'definition': '(96) "" covered bond "" means a covered bond as defined in point (1) of Article 3 of Directive (EU) 2019/2162 of the European Parliament and of the Council Directive (EU) 2019/2162 of the European Parliament and of the Council of 27 November 2019 on the issue of covered bonds and covered bond public supervision and amending Directives 2009/65/EC and 2014/59/EU (OJ L 328, 18.12.2019 , p. 29). or, with regard to an instrument that was issued before 8 July 2022 , a bond as referred to in Article 52(4) of Directive 2009/65/EC of the European Parliament and of the Council Directive 2009/65/EC of the European Parliament and of the Council of 13 July 2009 on the coordination of laws, regulations and administrative provisions relating to undertakings for collective investment in transferable securities (UCITS) ( OJ L 302, 17.11.2009, p. 32 ). , as applicable on the date of its issue;'}"
"{'date': '2013-10-30', 'definition': '"" customs legislation "" means the body of legislation made up of all of the following: (a) the Code and the provisions supplementing or implementing it adopted at Union or national level; (b) the Common Customs Tariff; (c) the legislation setting up a Union system of reliefs from customs duty; (d) international agreements containing customs provisions, insofar as they are applicable in the Union;'}","{'date': '2022-12-12', 'definition': '"" customs legislation "" means the body of legislation made up of all of the following: (a) the Code and the provisions supplementing or implementing it adopted at Union or national level; (b) the Common Customs Tariff; (c) the legislation setting up a Union system of reliefs from customs duty; (d) international agreements containing customs provisions, insofar as they are applicable in the Union; (e) Regulation (EU) 2022/2399 of the European Parliament and of the Council Regulation (EU) 2022/2399 of the European Parliament and of the Council of 23 November 2022 establishing the European Union Single Window Environment for Customs and amending Regulation (EU) No 952/2013 ( OJ L 317, 9.12.2022, p. 1 ). and the provisions supplementing or implementing it;'}"
"{'date': '2019-12-05', 'definition': '(12) "" eco 40-60 "" importer or authorised representative as able to clean normally soiled cotton laundry declared to be washable at 40 °C or 60 °C, together in the same washing cycle, and to which the ecodesign requirements on energy efficiency, washing efficiency, rinsing effectiveness, programme duration and water consumption relate;'}","{'date': '2021-03-01', 'definition': '(12) "" eco 40-60 "" importer or authorised representative as able to clean normally soiled cotton laundry declared to be washable at 40 °C or 60 °C, together in the same washing cycle, and to which the ecodesign requirements on energy efficiency, washing efficiency, rinsing effectiveness, programme duration, maximum temperature inside the laundry and water consumption relate;'}"
"{'date': '2013-06-20', 'definition': '"" host Member State of the AIFM "" means any of the following: (i) a Member State, other than the home Member State, in which an EU AIFM manages EU AIFs; (ii) a Member State, other than the home Member State, in which an EU AIFM markets units or shares of an EU AIF; (iii) a Member State, other than the home Member State, in which an EU AIFM markets units or shares of a non-EU AIF; (iv) a Member State, other than the Member State of reference, in which a non-EU AIFM manages EU AIFs; (v) a Member State, other than the Member State of reference, in which a non-EU AIFM markets units or shares of an EU AIF; or (vi) a Member State, other than the Member State of reference, in which a non-EU AIFM markets units or shares of a non-EU AIF;'}","{'date': '2014-07-02', 'definition': '"" host Member State of the AIFM "" means any of the following: (i) a Member State, other than the home Member State, in which an EU AIFM manages EU AIFs; (ii) a Member State, other than the home Member State, in which an EU AIFM markets units or shares of an EU AIF; (iii) a Member State, other than the home Member State, in which an EU AIFM markets units or shares of a non-EU AIF; (iv) a Member State, other than the Member State of reference, in which a non-EU AIFM manages EU AIFs; (v) a Member State, other than the Member State of reference, in which a non-EU AIFM markets units or shares of an EU AIF; or (vi) a Member State, other than the Member State of reference, in which a non-EU AIFM markets units or shares of a non-EU AIF; or (vii) a Member State, other than the home Member State, in which an EU AIFM provides the services referred to in Article 6(4);'}"
"{'date': '2014-09-17', 'definition': '(15) "" financial instrument "" means those instruments specified in Section C of Annex I;'}","{'date': '2023-03-23', 'definition': '(15) "" financial instrument "" means those instruments specified in Section C of Annex I, including such instruments issued by means of distributed ledger technology;'}"
"{'date': '2014-09-17', 'definition': '(36) "" management body "" means the body or bodies of an investment firm, market operator or data reporting services provider, which are appointed in accordance with national law, which are empowered to set the entity’s strategy, objectives and overall direction, and which oversee and monitor management decision-making and include persons who effectively direct the business of the entity. Where this Directive refers to the management body and, pursuant to national law, the managerial and supervisory functions of the management body are assigned to different bodies or different members within one body, the Member State shall identify the bodies or members of the management body responsible in accordance with its national law, unless otherwise specified by this Directive;'}","{'date': '2022-01-01', 'definition': '(36) "" management body "" means the body or bodies of an investment firm, a market operator, or a data reporting services provider as defined in point (36a) of Article 2(1) of Regulation (EU) No 600/2014 , which are appointed in accordance with national law, which are empowered to set the entity’s strategy, objectives and overall direction, and which oversee and monitor management decision-making and include persons who effectively direct the business of the entity. Where this Directive refers to the management body and, pursuant to national law, the managerial and supervisory functions of the management body are assigned to different bodies or different members within one body, the Member State shall identify the bodies or members of the management body responsible in accordance with its national law, unless otherwise specified by this Directive;'}"
"{'date': '2014-09-17', 'definition': '(37) "" senior management "" means natural persons who exercise executive functions within an investment firm, a market operator or a data reporting services provider and who are responsible, and accountable to the management body, for the day-to-day management of the entity, including for the implementation of the policies concerning the distribution of services and products to clients by the firm and its personnel;'}","{'date': '2022-01-01', 'definition': '(37) "" senior management "" means natural persons who exercise executive functions within an investment firm, a market operator, or a data reporting services provider as defined in point (36a) of Article 2(1) of Regulation (EU) No 600/2014 , and who are responsible and accountable to the management body for the day-to-day management of the entity, including for the implementation of the policies concerning the distribution of services and products to clients by the firm and its personnel;'}"
"{'date': '2014-09-17', 'definition': '"" structured deposit "" means a deposit as defined in point (c) of Article 2(1) of Directive 2014/49/EU of the European Parliament and of the Council Directive 2014/49/EU of the European Parliament and of the Council of 16 April 2014 on deposit guarantee schemes (see page 149 of this Official Journal). , which is fully repayable at maturity on terms under which interest or a premium will be paid or is at risk, according to a formula involving factors such as: (a) an index or combination of indices, excluding variable rate deposits whose return is directly linked to an interest rate index such as Euribor or Libor; (b) a financial instrument or combination of financial instruments; (c) a commodity or combination of commodities or other physical or non-physical non-fungible assets; or (d) a foreign exchange rate or combination of foreign exchange rates;'}","{'date': '2016-07-01', 'definition': '"" structured deposit "" means a deposit as defined in point (3) of Article 2(1) of Directive 2014/49/EU of the European Parliament and of the Council Directive 2014/49/EU of the European Parliament and of the Council of 16 April 2014 on deposit guarantee schemes (see page 149 of this Official Journal). , which is fully repayable at maturity on terms under which interest or a premium will be paid or is at risk, according to a formula involving factors such as: (a) an index or combination of indices, excluding variable rate deposits whose return is directly linked to an interest rate index such as Euribor or Libor; (b) a financial instrument or combination of financial instruments; (c) a commodity or combination of commodities or other physical or non-physical non-fungible assets; or (d) a foreign exchange rate or combination of foreign exchange rates;'}"
"{'date': '2014-09-17', 'definition': '(59) "" agricultural commodity derivatives "" means derivative contracts relating to products listed in Article 1 of, and Annex I, Parts I to XX and XXIV/1, to, Regulation (EU) No 1308/2013 of the European Parliament and of the Council Regulation (EU) No 1308/2013 of the European Parliament and of the Council of 17 December 2013 establishing a common organisation of the markets in agricultural products and repealing Council Regulations (EEC) No 922/72 , (EEC) No 234/79 (EC) No 1037/2001 and (EC) No 1234/2007 ( OJ L 347, 20.12.2013, p. 671 ).'}","{'date': '2022-02-28', 'definition': '(59) "" agricultural commodity derivatives "" means derivative contracts relating to products listed in Article 1 of, and Annex I, Parts I to XX and XXIV/1, to, Regulation (EU) No 1308/2013 of the European Parliament and of the Council Regulation (EU) No 1308/2013 of the European Parliament and of the Council of 17 December 2013 establishing a common organisation of the markets in agricultural products and repealing Council Regulations (EEC) No 922/72 , (EEC) No 234/79 (EC) No 1037/2001 and (EC) No 1234/2007 ( OJ L 347, 20.12.2013, p. 671 ). , as well as to products listed in Annex I to Regulation (EU) No 1379/2013 of the European Parliament and of the Council Regulation (EU) No 1379/2013 of the European Parliament and of the Council of 11 December 2013 on the common organisation of the markets in fishery and aquaculture products, amending Council Regulations (EC) No 1184/2006 and (EC) No 1224/2009 and repealing Council Regulation (EC) No 104/2000 ( OJ L 354, 28.12.2013, p. 1 ).'}"
"{'date': '2017-07-10', 'definition': '"" undertaking in difficulty "" means an undertaking in respect of which at least one of the following circumstances occurs: (a) In the case of a limited liability company (other than an SME that has been in existence for less than three years or, for the purposes of eligibility for risk finance aid, an SME within 7 years from its first commercial sale that qualifies for risk finance investments following due diligence by the selected financial intermediary), where more than half of its subscribed share capital has disappeared as a result of accumulated losses. This is the case when deduction of accumulated losses from reserves (and all other elements generally considered as part of the own funds of the company) leads to a negative cumulative amount that exceeds half of the subscribed share capital. For the purposes of this provision, ""limited liability company"" refers in particular to the types of company mentioned in Annex I of Directive 2013/34/EU ""share capital"" includes, where relevant, any share premium. Directive 2013/34/EU of the European Parliament and of the Council of 26 June 2013 on the annual financial statements, consolidated financial statements and related reports of certain types of undertakings, amending Directive 2006/43/EC of the European Parliament and of the Council and repealing Council Directives 78/660/EEC and 83/349/EEC. and (b) In the case of a company where at least some members have unlimited liability for the debt of the company (other than an SME that has been in existence for less than three years or, for the purposes of eligibility for risk finance aid, an SME within 7 years from its first commercial sale that qualifies for risk finance investments following due diligence by the selected financial intermediary), where more than half of its capital as shown in the company accounts has disappeared as a result of accumulated losses. For the purposes of this provision, ""a company where at least some members have unlimited liability for the debt of the company"" refers in particular to the types of company mentioned in Annex II of Directive 2013/34/EU (c) Where the undertaking is subject to collective insolvency proceedings or fulfils the criteria under its domestic law for being placed in collective insolvency proceedings at the request of its creditors. (d) Where the undertaking has received rescue aid and has not yet reimbursed the loan or terminated the guarantee, or has received restructuring aid and is still subject to a restructuring plan. (e) In the case of an undertaking that is not an SME, where, for the past two years: (1) the undertaking\'s book debt to equity ratio has been greater than 7,5 and (2) the undertaking\'s EBITDA interest coverage ratio has been below 1,0.'}","{'date': '2023-07-01', 'definition': '"" undertaking in difficulty "" means an undertaking in respect of which at least one of the following circumstances occurs: (a) In the case of a limited liability company (other than an SME that has been in existence for less than 3 years or, for the purposes of eligibility for risk finance aid, an SME that fulfils the condition in Article 21(3), point (b), and qualifies for risk finance investments following due diligence by the selected financial intermediary), where more than half of its subscribed share capital has disappeared as a result of accumulated losses. This is the case when deduction of accumulated losses from reserves (and all other elements generally considered as part of the own funds of the company) leads to a negative cumulative amount that exceeds half of the subscribed share capital. For the purposes of this provision, ""limited liability company"" refers in particular to the types of company mentioned in Annex I to Directive 2013/34/EU of the European Parliament and of the Council""share capital"" includes, where relevant, any share premium. Directive 2013/34/EU of the European Parliament and of the Council of 26 June 2013 on the annual financial statements, consolidated financial statements and related reports of certain types of undertakings, amending Directive 2006/43/EC of the European Parliament and of the Council and repealing Council Directives 78/660/EEC and 83/349/EEC ( OJ L 182, 29.6.2013, p. 19 ). and (b) In the case of a company where at least some of its members have unlimited liability for the debt of the company (other than an SME that has been in existence for less than 3 years or, for the purposes of eligibility for risk finance aid, an SME that fulfils the condition in Article 21(3), point (b), and qualifies for risk finance investments following due diligence by the selected financial intermediary), where more than half of its capital as shown in the company accounts has disappeared as a result of accumulated losses. For the purposes of this provision, ""a company where at least some of its members have unlimited liability for the debt of the company"" refers in particular to the types of company mentioned in Annex II to Directive 2013/34/EU (c) Where the undertaking is subject to collective insolvency proceedings or fulfils the criteria under its domestic law for being placed in collective insolvency proceedings at the request of its creditors. (d) Where the undertaking has received rescue aid and has not yet reimbursed the loan or terminated the guarantee, or has received restructuring aid and is still subject to a restructuring plan. (e) In the case of an undertaking that is not an SME, where, for the past two years: (1) the undertaking\'s book debt to equity ratio has been greater than 7,5 and (2) the undertaking\'s EBITDA interest coverage ratio has been below 1,0.'}"
"{'date': '2017-07-10', 'definition': '(20) "" adjusted aid amount "" means the maximum permissible aid amount for a large investment project, calculated according to the following formula: maximum aid amount = R × (A + 0,50 × B + 0 × C) where: R is the maximum aid intensity applicable in the area concerned established in an approved regional map and which is in force on the date of granting the aid, excluding the increased aid intensity for SMEs; A is the initial EUR 50 million of eligible costs, B is the part of eligible costs between EUR 50 million and EUR 100 million and C is the part of eligible costs above EUR 100 million'}","{'date': '2023-07-01', 'definition': '(20) "" adjusted aid amount "" means the maximum permissible aid amount for a large investment project, calculated in accordance with the following formula: adjusted aid amount = R × (A + 0.50 × B + 0 × C) where: R is the maximum aid intensity applicable in the area concerned, excluding the increased aid intensity for SMEs; A is the part of eligible costs equal to EUR 55 million; B is the part of eligible costs between EUR 55 million and EUR 110 million, and C is the part of eligible costs above EUR 110 million;'}"
"{'date': '2017-07-10', 'definition': '(27) "" assisted areas "" means areas designated in an approved regional aid map for the period 1.7.2014 - 31.12.2020 in application of Articles 107(3)(a) and (c) of the Treaty;'}","{'date': '2020-07-27', 'definition': '(27) "" assisted areas "" means areas designated in an approved regional aid map approved in application of Articles2020-2021, 107(3)(a) and (c) of the Treaty for the period from 1 July 2014 to 31 December 2021 for regional aid granted until 31 December 2021 and areas designated in an approved regional aid map approved in application of Articles 107(3)(a) and (c) of the Treaty for the period from 1 January 2022 to 31 December 2027 for regional aid granted after 31 December 2021 ;'}","{'date': '2023-07-01', 'definition': '(27) "" assisted areas "" means areas designated in a regional aid map that has been approved in application of Article 107(3), points (a) and (c) of the Treaty and is in force at the time of the award of the aid;'}"
"{'date': '2017-07-10', 'definition': '(32) "" net increase in the number of employees "" means a net increase in the number of employees in the establishment concerned compared with the average over a given period in time, and that any posts lost during that period must therefore be deducted and that the number of persons employed full-time, part-time and seasonal has to be considered with their annual labour unit fractions;'}","{'date': '2023-07-01', 'definition': '(32) "" net increase in the number of employees "" means a net increase in the number of employees in the establishment concerned compared to the average over a given period in time, after deducting from the number of jobs created any job losses during that period. The number of persons employed full-time, part-time and seasonal has to be considered with their annual labour unit fractions;'}"
"{'date': '2017-07-10', 'definition': '(34) "" financial intermediary "" means any financial institution regardless of its form and ownership, including fund-of-funds, private equity investment funds, public investment funds, banks, micro-finance institutions and guarantee societies;'}","{'date': '2023-07-01', 'definition': '(34) "" financial intermediary "" means any financial institution regardless of its form and ownership, including funds of funds, private investment funds, public investment funds, banks, micro-finance institutions and guarantee societies;'}"
"{'date': '2017-07-10', 'definition': '(39) "" operating profit "" means the difference between the discounted revenues and the discounted operating costs over the economic lifetime of the investment, where this difference is positive. The operating costs include costs such as personnel costs, materials, contracted services, communications, energy, maintenance, rent, administration, but exclude depreciation charges and the costs of financing if these have been covered by investment aid. Discounting revenues and operating costs using an appropriate discount rate allows a reasonable profit to be made.'}","{'date': '2023-07-01', 'definition': '(39) "" operating profit "" means the difference between the discounted revenues and the discounted operating costs over the economic lifetime of the investment, where this difference is positive. The operating costs include costs such as personnel costs, materials, contracted services, communications, energy, maintenance, rent, administration, but exclude depreciation charges and the costs of financing if these have been covered by investment aid. Discounting revenues and operating costs using an appropriate discount rate allows a reasonable profit to be made;'}"
"{'date': '2017-07-10', 'definition': '(42) "" regional operating aid "" means aid to reduce an undertaking\'s current expenditure. This includes cost categories such as personnel costs, materials, contracted services, communications, energy, maintenance, rent, administration, but excludes depreciation charges and the costs of financing if these have been included in the eligible costs when granting investment aid;'}","{'date': '2023-07-01', 'definition': '(42) "" regional operating aid "" means aid to reduce an undertaking\'s current expenditure, including categories such as personnel costs, materials, contracted services, communications, energy, maintenance, rent, administration, but excluding depreciation charges and the costs of financing related to an investment that benefited from investment aid;'}"
